Date, Time,Pressure,Temp A,Temp B,Temp C,Conductivity
04/03/2025,22:21:55,1007.90,18.69,18.87,18.62,
04/03/2025,22:21:55,1008.10,18.69,18.87,18.62,
04/03/2025,22:21:55,1008.00,18.69,18.87,18.62,12.32
04/03/2025,22:21:57,1007.90,18.69,18.94,18.62,12.32
04/03/2025,22:21:58,1008.20,18.75,18.94,18.62,12.32
04/03/2025,22:21:59,1007.90,18.75,18.94,18.62,12.16
04/03/2025,22:22:00,1008.10,18.75,18.94,18.62,12.32
04/03/2025,22:22:01,1007.90,18.75,18.94,18.69,12.16
04/03/2025,22:22:02,1008.00,18.75,18.94,18.69,12.16
04/03/2025,22:22:03,1007.80,18.69,18.94,18.62,12.16
04/03/2025,22:22:04,1007.90,18.69,18.94,18.69,12.16
04/03/2025,22:22:05,1007.80,18.75,18.94,18.62,12.01
04/03/2025,22:22:06,1008.00,18.75,18.94,18.69,12.16
04/03/2025,22:22:07,1007.80,18.75,18.94,18.69,12.01
04/03/2025,22:22:08,1007.90,18.75,18.94,18.69,12.01
04/03/2025,22:22:08,1008.00,18.75,18.94,18.69,12.01
04/03/2025,22:22:09,1007.90,18.75,18.94,18.62,12.16
04/03/2025,22:22:10,1008.10,18.75,19.00,18.62,12.01
04/03/2025,22:22:11,1008.00,18.75,19.00,18.69,12.01
04/03/2025,22:22:12,1008.20,18.75,19.00,18.69,12.01
04/03/2025,22:22:13,1008.00,18.75,18.94,18.69,11.85
04/03/2025,22:22:14,1008.10,18.75,18.94,18.69,12.01
04/03/2025,22:22:15,1007.90,18.81,18.94,18.69,12.01
04/03/2025,22:22:16,1007.80,18.75,19.00,18.69,12.01
04/03/2025,22:22:17,1008.00,18.75,18.94,18.69,12.01
04/03/2025,22:22:18,1008.00,18.75,19.00,18.69,12.01
04/03/2025,22:22:19,1007.90,18.75,19.00,18.69,12.01
04/03/2025,22:22:20,1007.90,18.75,18.94,18.69,11.85
04/03/2025,22:22:21,1008.20,18.75,18.94,18.69,11.85
04/03/2025,22:22:22,1008.00,18.75,19.00,18.69,11.85
04/03/2025,22:22:23,1007.90,18.81,19.00,18.69,11.85
04/03/2025,22:22:24,1007.90,18.75,19.00,18.69,11.85
04/03/2025,22:22:25,1008.10,18.75,19.00,18.69,11.85
04/03/2025,22:22:26,1007.90,18.75,19.00,18.69,11.85
04/03/2025,22:22:27,1007.80,18.81,19.00,18.69,11.85
04/03/2025,22:22:28,1007.90,18.81,19.00,18.69,11.85
04/03/2025,22:22:29,1007.90,18.75,19.00,18.69,11.70
04/03/2025,22:22:30,1008.20,18.81,19.00,18.69,11.85
04/03/2025,22:22:31,1008.10,18.81,19.00,18.69,11.85
04/03/2025,22:22:32,1007.90,18.75,19.00,18.69,11.85
04/03/2025,22:22:33,1008.10,18.81,19.00,18.69,11.85
04/03/2025,22:22:34,1008.00,18.81,19.00,18.69,11.85
04/03/2025,22:22:35,1008.20,18.81,19.00,18.69,11.85
04/03/2025,22:22:36,1008.00,18.81,19.00,18.69,11.70
04/03/2025,22:22:37,1008.20,18.75,19.00,18.69,11.85
04/03/2025,22:22:38,1008.00,18.81,19.00,18.69,11.85
04/03/2025,22:22:39,1008.00,18.81,19.00,18.69,11.85
04/03/2025,22:22:40,1008.00,18.81,19.00,18.75,11.85
04/03/2025,22:22:41,1008.00,18.81,19.00,18.69,11.85
04/03/2025,22:22:42,1008.00,18.81,19.00,18.69,11.85
04/03/2025,22:22:43,1008.00,18.81,19.00,18.75,11.70
04/03/2025,22:22:44,1008.00,18.81,19.06,18.75,11.70
04/03/2025,22:22:45,1008.10,18.81,19.00,18.69,11.70
04/03/2025,22:22:46,1007.90,18.81,19.06,18.69,11.85
04/03/2025,22:22:47,1008.10,18.81,19.06,18.69,11.85
04/03/2025,22:22:48,1008.00,18.81,19.00,18.75,11.70
04/03/2025,22:22:49,1007.90,18.81,19.00,18.75,11.70
04/03/2025,22:22:50,1007.90,18.81,19.00,18.69,11.70
04/03/2025,22:22:51,1008.00,18.81,19.00,18.75,11.70
04/03/2025,22:22:52,1007.90,18.81,19.06,18.75,11.69
04/03/2025,22:22:53,1007.70,18.81,19.06,18.69,11.70
04/03/2025,22:22:54,1008.00,18.81,19.06,18.75,11.70
04/03/2025,22:22:55,1007.90,18.81,19.06,18.69,11.70
04/03/2025,22:22:56,1008.10,18.81,19.06,18.75,11.70
